Sample-Name;Sample-No;Meas-No;Filename;Meas-Date;Eval-Date;Ct.Th;Ct.Th.SD;Ct.Ar;Ma.Ar;Tt.Ar;Ct.Ar/Tt.Ar;Ps.Pm;Ec.Pm;TMD;TMD.SD;BMD;BMD.SD;Cmx;Cmy;Ixx;Iyy;Ixy;J;Ixx/Cy;Iyy/Cx;Imax;Imin;Angle;Imax/Cmax;Imin/Cmin;Angle to Z axis;Ct.Po;Po.N;Po.V;AvgPo.V;Po.V.SD;Po.Dn;Pos X;Pos Y;Pos Z;Dim X;Dim Y;Dim Z;El-Size X;El-Size Y;El-Size Z;Sigma;Support;Unit;Lower threshold;Upper threshold;Mgroup;Egroup;Region;Version;Oper-M;Oper-E
;;;;;;mm;mm;mm²;mm²;mm²;%;mm;mm;mg HA/ccm;mg HA/ccm;mg HA/ccm;mg HA/ccm;mm;mm;mm4;mm4;mm4;mm4;mm³;mm³;mm4;mm4;°;mm³;mm³;°;%;;mm³;mm³;mm;1/mm³;;;;;;;mm;mm;mm;;;;Unit;Unit;;;;;;
YG_MM_E01_IntF_4W_OGP270_17RU;6717;13981;R0005194;04-JUL-2022 10:56;17-JUL-2023 22:18;     0.7110;     0.1749;   185.4427;     3.5708;    11.7005;  1584.9109;    17.2761;     7.9910; 809.68; 231.59; -77.88; 220.71;     5.9647;     5.6718;    12.9023;    12.8132;     2.6838;    25.7156;     2.2817;     3.9543;    15.5767;    10.1389;   -45.0507;     2.4964;     3.1819;     6.1026;     0.1643;     398;     0.3039;     0.0008;     0.0132;     2.1515;      10;      10;       5;     944;     668;    2452;     0.0172;     0.0172;     0.0172;     0.8000;       1;       2;   135.0000; 10000.0000;   0;   0;   0;   0;ÿÿÿÿ;microct
